menu,harga_normal,harga_platform_online,selisih,uom,kategori
INDOMIE MEVVAH,22000,24500,2500,PORSI,Menu Food
PAKET INDOMIE CRISPY DADA/PAHA ATAS,22000,24500,2500,Units,Menu Food
PKC MIE (CRISPY DADA/PAHA ATAS+INDOMIE),22000,24500,2500,PAKET,Menu Food
PKC (SAYAP+NASI+MINUM),22000,24500,2500,PAKET,Menu Food
PKG INDOMIE GEPREK SAMBAL LOKAL,22000,24500,2500,Units,Menu Food
GEPREK KEJU,21000,23500,2500,PORSI,Menu Food
PAKET AYAM CRISPY DADA/PAHA ATAS,21000,23500,2500,Units,Menu Food
PAKET GEPREK KEJU LUMER (SAYAP/PAHA BAWAH),21000,23500,2500,PAKET,Menu Food
PAKET GEPREK SMOKEY BBQ (SAYAP/PAHA BAWAH),21000,23500,2500,PAKET,Menu Food
PKC (PAHA BAWAH+NASI+MINUM),21000,23500,2500,PAKET,Menu Food
PKG SAMBAL ORI PAHA BAWAH,21000,23500,2500,Units,Menu Food
PKG SAMBAL ORI SAYAP,21000,23500,2500,Units,Menu Food
YUKSSS RAMA 3,21000,23500,2500,Units,Menu Food
GEPREK ANDALAN + NASI,20500,23000,2500,PAKET,Menu Food
PKG MIE (AYAM GEPREK+SAMBAL LOKAL+INDOMIE),19500,21500,2000,PAKET,Menu Food
YUKSSS RAMA 2,19500,21500,2000,Units,Menu Food
BIG HEMAT 4,19000,21000,2000,Units,Menu Food
GEPREK SAOS KEJU LUMER,19000,21000,2000,Units,Menu Food
GEPREK SMOKEY BBQ,19000,21000,2000,Units,Menu Food
PKC MIE (CRISPY SAYAP/PAHA BAWAH+INDOMIE),19000,21000,2000,PAKET,Menu Food
PKG INDOMIE CRISPY SAYAP,19000,21000,2000,Units,Menu Food
BIG HEMAT 1,18500,20500,2000,Units,Menu Food
BIG HEMAT 2,18500,20500,2000,Units,Menu Food
PAKET INDOMIE CRISPY PAHA BAWAH,18500,20500,2000,Units,Menu Food
GEPREK SAMBAL KOREK SURABAYA,18000,20000,2000,PORSI,Menu Food
BIG HEMAT 3,17500,19500,2000,Units,Menu Food
GEPREK BAKAR ANDALAN,17000,19000,2000,PORSI,Menu Food
GEPREK SAMBAL IJO PADANG,17000,19000,2000,PORSI,Menu Food
GEPREK SAMBAL RICA MANADO,17000,19000,2000,PORSI,Menu Food
PAKET AYAM CRISPY PAHA BAWAH,17000,19000,2000,Units,Menu Food
PAKET AYAM CRISPY SAYAP,17000,19000,2000,Units,Menu Food
GEPREK SAOS KEJU  DADA/PAHA ATAS,16500,18500,2000,PORSI,Menu Food
PAKET KULIT CRISPY,16500,18500,2000,Units,Menu Food
GEPREK SAMBAL TOMAT MALINO,15500,17500,2000,PORSI,Menu Food
GEPREK SAOS BBQ DADA/PAHA ATAS,15500,17500,2000,PORSI,Menu Food
GEPREK ORIGINAL DADA/PAHA ATAS,15000,16500,1500,PORSI,Menu Food
GEPREK SAOS KEJU  SAYAP/PAHA BAWAH,15000,16500,1500,PORSI,Menu Food
ICE CHOCOLATE,15000,16500,1500,GELAS,Menu Beverage
AYAM CRISPY DADA/PAHA ATAS,14000,15500,1500,PORSI,Menu Food
GEPREK SAOS BBQ SAYAP/PAHA BAWAH,14000,15500,1500,PORSI,Menu Food
GEPREK ORIGINAL SAYAP,13000,14500,1500,PORSI,Menu Food
AYAM CRISPY SAYAP,12000,13500,1500,PORSI,Menu Food
GEPREK ORIGINAL PAHA BAWAH,12000,13500,1500,PORSI,Menu Food
AYAM CRISPY PAHA BAWAH,11000,12500,1500,PORSI,Menu Food
KULIT CRISPY,10000,11000,1000,PORSI,Menu Food
MOZZARELLA,9500,10500,1000,Units,Menu Food
BLACKCURRANT,8500,9500,1000,GELAS,Menu Beverage
INDOMIE,8500,9500,1000,PORSI,Menu Food
LEMON TEA,8000,9000,1000,GELAS,Menu Beverage
PARUTAN KEJU,7500,8500,1000,PORSI,Menu Food
TAHU CRISPY,7500,8500,1000,PORSI,Menu Food
TELUR CRISPY,7500,8500,1000,PORSI,Menu Food
TEMPE CRISPY,7500,8500,1000,PORSI,Menu Food
ICE COLA,7000,8000,1000,GELAS,Menu Beverage
KEMASAN VARIAN AYAM,6500,7500,1000,Units,Menu Food
MENU SAMBAL IJO PADANG,6500,7500,1000,Units,Menu Food
SAMBAL TOMAT MALINO,6500,7500,1000,PORSI,Menu Food
SAOS BBQ,6000,7000,1000,PORSI,Menu Food
SAOS KEJU,6000,7000,1000,PORSI,Menu Food
KEMASAN VARIAN INDOMIE,5500,6500,1000,Units,Menu Food
MENU SAMBAL KOREK SURABAYA,5500,6500,1000,Units,Menu Food
MENU SAMBAL ORIGINAL,5500,6500,1000,Units,Menu Food
MENU SAMBAL RICA MANADO,5500,6500,1000,Units,Menu Food
AIR GELAS,5000,5500,500,PCS,Bahan Baku Beverage
BARBEQUE,5000,5500,500,Units,(tanpa kategori)
ES TEH,5000,5500,500,GELAS,Menu Beverage
IJO,5000,5500,500,Units,(tanpa kategori)
KEJU LUMER,5000,5500,500,Units,(tanpa kategori)
KOREK,5000,5500,500,Units,(tanpa kategori)
NASI,5000,5500,500,PORSI,Menu Food
ORANGE,5000,5500,500,GELAS,Menu Beverage
RICA,5000,5500,500,Units,(tanpa kategori)
TELUR DADAR/CEPLOK,5000,5500,500,PORSI,Menu Food
NUGGET,2000,2500,500,Units,(tanpa kategori)
TAHU/BIJI,2000,2500,500,Units,(tanpa kategori)
TELUR KRISPI,2000,2500,500,Units,(tanpa kategori)
TEMPE/BIJI,2000,2500,500,Units,(tanpa kategori)
Gift Card,50,50,0,Units,Services
Top-up eWallet,50,50,0,Units,Services
