Favorit,Nama,Referensi Internal,Harga Jual,Modal,Kuantitas Di Tangan,Forecasted Quantity,Unit Pembelian,Dekorasi Pengecualian Aktivitas,Dibuat oleh,ID Eksternal
False,SAMBAL RICA MANADO,,1,0,0,0,BKS @1KG,,KEUANGAN,__export__.product_template_433_fe9eaa21
False,SAMBAL TOMAT MALINO,,1,0,0,0,PORSI,,KEUANGAN,__export__.product_template_580_c33258e8
False,SANTAN KARA,,1,0,0,0,DUS @36PCS,,KEUANGAN,__export__.product_template_429_788f72b6
False,SANTAN SASA,,1,0,0,0,DUS @32PCS,,KEUANGAN,__export__.product_template_435_df66514c
False,SAOS SASET CABE,,1,0,0,0,DUS @30BKS,,KEUANGAN,__export__.product_template_436_36de7402
False,SAOS SASET TOMAT,,1,0,0,0,DUS @30BKS,,KEUANGAN,__export__.product_template_437_f77a8912
False,SAOS TIRAM,,1,0,0,0,BTL @1LTR,,KEUANGAN,__export__.product_template_426_15bcd405
False,SARINGAN TEH,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_493_12ca15c0
False,SARINGAN TEPUNG,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_494_cdef3bc9
False,SARUNG TANGAN MEDIS,,1,0,0,0,BOX @100LBR,,KEUANGAN,__export__.product_template_499_5cf94978
False,SARUNG TANGAN PLASTIK,,1,0,0,0,BKS @100LBR,,KEUANGAN,__export__.product_template_483_625f7e32
False,SENDOK GARPU,,1,0,0,0,BKS @100PCS,,KEUANGAN,__export__.product_template_455_8ae93648
False,SENDOK PLASTIK,,1,0,0,0,BKS @100PCS,,KEUANGAN,__export__.product_template_472_d5a703e8
False,TAHU,,1,0,0,0,BIJI @2PTG,,KEUANGAN,__export__.product_template_630_fce433a7
False,TEH MIX,,1,0,0,0,"KTG @2,3KG",,KEUANGAN,__export__.product_template_453_303e73f8
False,TELUR,,1,0,0,0,RAK @30BTR,,KEUANGAN,__export__.product_template_444_dca7d18f
False,TEMPE,,1,0,0,0,BKS @16PTG,,KEUANGAN,__export__.product_template_637_7aee9a75
False,TEPUNG MIX GEYUKSSS,,1,0,0,0,ZAK @25KG,,KEUANGAN,__export__.product_template_438_4a40f6db
False,THERMOMETER,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_495_0e5a9ecb
False,THINWALL SAUCE 25 ML,,1,0,0,0,BKS @50PCS,,KEUANGAN,__export__.product_template_474_5f690518
False,THINWALL SAUCE 35 ML,,1,0,0,0,BKS @50PCS,,KEUANGAN,__export__.product_template_475_eff3b829
False,TIMER DIGITAL,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_496_dc0a06e3
False,TISSUE HAND TOWELS,,1,0,0,0,DUS @24PACK,,KEUANGAN,__export__.product_template_484_64bb3835
False,TOPI GY,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_488_69a1932e
False,TRAY SAMBAL,,1,0,0,0,BKS @600PCS,,KEUANGAN,__export__.product_template_473_d402e3ce
